[2017-03-06 22:27:20] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://magento2.local/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:43:31] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:43:31] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["LAYOUT_GENERAL_CACHE_TAG"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:43:31] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["BLOCK_HTML"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:43:31] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["COLLECTION_DATA"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:43:31] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["REFLECTION"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:43:31] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["DB_DDL"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:43:31] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:43:31] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:43:31] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION_API_CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:43:31] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:43:31] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["TRANSLATE"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:43:31] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["WEBSERVICE"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:43:36] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/session/prolong","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:43:36] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/session/prolong","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:45:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:45:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:45:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:45:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:45:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:45:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:45:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:45:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:45:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:45:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-03-06 22:45:37] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-03-06 22:45:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-03-06 22:45:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-03-06 22:45:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_21","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-03-06 22:45:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_21","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-03-06 22:45:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-03-06 22:45:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-03-06 22:45:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_36","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-03-06 22:45:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_36","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-03-06 22:45:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-03-06 22:45:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-03-06 22:45:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_1","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-03-06 22:45:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_1","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-03-06 22:45:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-03-06 22:45:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-03-06 22:45:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_3","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-03-06 22:45:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_3","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-03-06 22:45:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-03-06 22:45:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-03-06 22:45:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_9","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
